name,va,color,image,Name,VA,Catchphrase,Birthday,Height,Weight,Profile
Agnestachyon,Minami Takahashi,#b2e6f2,agnestachyon_list.png,,,,,,,
Air Groove,Yuka Aisaka,#b6b6e6,airgroove_list.png,,,,,,,
Daiwa Scarlet,Chisa Kimura,#ff6aa8,daiwascarlet_list.png,,,,,,,
Fine Motion,Eri Suzuki,#f7e6b2,finemotion_list.png,,,,,,,
Fuji Kiseki,Eriko Matsui,#333e48,fujikiseki_list.png,,,,,,,
Gold Ship,Hitomi Ueda,#ff6464,goldship_list.png,,,,,,,
Grass Wonder,Rena Maeda,#6b78ff,grasswonder_list.png,,,,,,,
Haru Urara,Yui Watanabe,#f7b2d9,haruurara_list.png,,,,,,,
King Halo,Haruka Yoshimura,#b2a16b,kinghalo_list.png,,,,,,,
Maruzensky,Lynn,#ff6b6b,maruzensky_list.png,,,,,,,
Mayano Top Gun,Hina Tachibana,#f7c46b,mayanotopgun_list.png,,,,,,,
Mejiro McQueen,Saori Oonishi,#20d3d0,mejiromcqueen_list.png,,,,,,,
Mejiro Ryan,Yuuki Takada,#b2e6b2,mejiroryan_list.png,,,,,,,
Mihono Bourbon,Ayaka Kawase,#b2b2e6,mihonobourbon_list.png,,,,,,,
Nice Nature,Kaori Maeda,#b2e6a6,nicenature_list.png,,,,,,,
Oguri Cap,Tomoyo Takayanagi,#3da7ff,oguricap_list.png,,,,,,,
Rice Shower,Manaka Iwami,#b2b2d9,riceshower_01_list.png,,,,,,,
Sakura Bakushin O,Sayumi Suzushiro,#ffb2b2,sakurabakushino_list.png,,,,,,,
Silence Suzuka,Marika Kohno,#2ecc71,silencesuzuka_list.png,,,,,,,
Special Week,Azumi Waki,#ff8fb1,specialweek_list.png,,,,,,,
Super Creek,Masumi Tazawa,#b2d9e6,supercreek_list.png,,,,,,,
Symboli Rudolf,Azusa Tadokoro,#b2b2b2,symbolirudolf_list.png,,,,,,,
Taiki Shuttle,Yuka Otsubo,#7ed957,taikishuttle_list.png,,,,,,,
TM Opera O,Yui Horie,#b2b2f7,tmoperao_list.png,,,,,,,
Tokai Teio,Machico,#4aa3ff,tokaiteio_list.png,,,,,,,
Vodka,Ayaka Ohashi,#f5b700,vodka_list.png,,,,,,,
,,,,Agnes Tachyon,Sumire Uesaka,"Life is an experiment, and we its guinea pigs. You, me, the other Umamusume—everyone!",Apr 13,159cm,Refused measurement,"Equal parts researcher and runner, Agnes Tachyon pursues the limits of speed with the power of science. She will stop at nothing to quench her pure thirst for knowledge, performing all manner of experiments on living subjects—unauthorized, dangerous experiments, at that. Her extreme tunnel vision means that without someone to support her, day-to-day necessities quickly fall to the wayside."
,,,,Air Groove,Ruriko Aoki,"Just as my esteemed mother once did, I must train to perfection and lead others along my path!",Apr 6,165cm,Perfectly maintained,"The vice president of Tracen Academy's student council, known to the other students as the ""Empress."" The daughter of an accomplished racer, she constantly strives to live up to her mother's racing prowess and ability to guide others. To this end, she has joined her friend and confidant, Symboli Rudolf, in the student council. Despite her strict schedule, she still makes time to tend the flowers in the garden."
,,,,Daiwa Scarlet,Chisa Kimura,Second-best won't cut it. Everything I do is for the sake of being number one!,May 13,163cm,Unclear (refused measurement),"Unyielding, strong-willed, and cheeky, she wants to be number one at everything she does. She usually plays the role of the perfect, mild-mannered honor student, but the truth is that she hates losing more than anything else. If it'll help her be number one, she'll go through any training—no matter how grueling. She sees her rather showy roommate Vodka as both her motivation and her rival."
,,,,Fine Motion,Chinami Hashimoto,"Whether about racing or the culture itself, I must learn more about this lovely place! ♪",Jan 27,158cm,Slight increase (ate too much ramen?),"A lady of a distinguished family that is rumored to be royalty, she has come to Tracen as an exchange student from Ireland. Perhaps due to a sheltered childhood, she's very curious about everything, which can lead to some sticky situations. She hopes to make a lot of memories while at the academy."
,,,,Fuji Kiseki,Eriko Matsui,"Don't cry, my darling pony. If there's something on your mind, speak!",Apr 15,168cm,No change,"A dashing performer who never hesitates to take another runner gently by the hand. You won't catch her flirting, however. Instead, she helps her dear ponies in her capacity as leader of Ritto Dormitory. As a runner, she hopes to captivate audiences just like her mother, a stage actress. Her ultimate stage: the Triple Crown."
,,,,Gold Ship,Hitomi Ueda,"So long as it's fun, right? Right?!",Mar 6,170cm,Unmeasurable,"An unpredictable firebrand born with an extra helping of free spirit. She's prone to some dramatic swings in mood and motivation—one moment she could be setting up an elaborate punchline, and in the next you would be hard-pressed to get her to move. She seems to get along with anyone and everyone, but it is unclear just how she views her bonds with others. Truly, one could call her Tracen's greatest mischief-maker."
,,,,Grass Wonder,Rena Maeda,"Noble and gallant, I march on... towards my ambitions.",Feb 18,152cm,No change,"Though born in America, her parents' love of Japanese culture influenced her to also love all things to do with the country—to the point of being called the spitting image of the ideal Japanese beauty. She speaks in a friendly manner and is easy to get along with, but her will is firm. Her determination to win is second to none. She shares a room with her close friend, El Condor Pasa."
,,,,Haru Urara,Yukina Shuto,"I won't let losing get me down! Urara, la la la! ♪",Feb 27,140cm,Slight increase (but unphased),"She's on a losing streak... but she never gives up! While she may not be the most skilled, she experienced the excitement of racing back in Kochi and wanted more. While she completely flunked Tracen's entrance exam, her admissions officer was nonetheless impressed when they spoke by her boundless positivity—which she spreads to all the Umamusume around her."
,,,,King Halo,Iori Saeki,I'll have everyone know that I'll be the first-rate of them all!,Apr 28,159cm,Perfect,"An Umamusume with an unbreakable spirit, King Halo is ready to overcome any challenge in order to be recognized by all as a first-class lady. Despite their strained relationship, she hopes to one day be recognized by her mother-a first-rate Umamusume and designer-and prove herself as a daughter. Yet to her gaggle of admirers at the academy, there's no doubt in their minds that she's already worthy of the title of ""King,"" and they do not hesitate to regularly hail her as such."
